MAC Address,Vendor,IP Address,Protocol,Port,First Seen,Last Seen,Packet Count
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50707,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50724,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50733,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50757,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50809,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50885,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50926,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50943,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50946,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50988,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,50996,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,51017,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,51128,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,51143,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,51148,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,51168,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,51419,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,51445,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,51450,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,51531,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,51579,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,51620,1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,UDP,51644,1550996512.876757,1551008543.153847,293
