Source IP,Source MAC,Source TCP Port,Source UDP Port,Target IP,Target MAC,Target TCP Port,Target UDP Port,Protocol,Application Protocol,Packets A->B,Packets B->A,Bytes A->B,Bytes B->A,First Seen,Last Seen,Duration (seconds),Conversation Status,TCP Flags,Stream ID,Frame Protocols,VLAN ID,DiffServ Field,IP Version
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.9,58:bf:ea:be:b3:80,,64060,UDP,DATA,1,0,127,0,2019-02-24T03:55:23.181397,2019-02-24T03:55:23.181397,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.10,58:bf:ea:be:ad:80,,62923,UDP,DATA,1,0,127,0,2019-02-24T03:55:25.687661,2019-02-24T03:55:25.687661,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.7,58:bf:ea:be:ad:80,,52076,UDP,DATA,1,0,127,0,2019-02-24T03:55:25.849263,2019-02-24T03:55:25.849263,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.10,58:bf:ea:be:b3:80,,63192,UDP,DATA,1,0,127,0,2019-02-24T03:55:25.979237,2019-02-24T03:55:25.979237,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.7,58:bf:ea:be:ad:80,,52352,UDP,DATA,1,0,127,0,2019-02-24T03:55:26.161816,2019-02-24T03:55:26.161816,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.11,58:bf:ea:be:b3:80,,58699,UDP,DATA,1,0,127,0,2019-02-24T03:55:29.936153,2019-02-24T03:55:29.936153,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.11,58:bf:ea:be:ad:80,,58961,UDP,DATA,1,0,127,0,2019-02-24T03:55:30.242609,2019-02-24T03:55:30.242609,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,54013,,10.51.119.162,00:00:0c:07:ac:f0,51244,,TCP,TCP,9,0,1282,0,2019-02-24T03:55:33.414209,2019-02-24T03:55:33.792000,0.378,unknown,,110,"eth,ethertype,vlan,ip,tcp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.12,58:bf:ea:be:ad:80,,64419,UDP,DATA,1,0,127,0,2019-02-24T03:55:36.357630,2019-02-24T03:55:36.357630,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.12,58:bf:ea:be:ad:80,,64688,UDP,DATA,1,0,127,0,2019-02-24T03:55:36.659243,2019-02-24T03:55:36.659243,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
